Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,Cho_0,RT_0,OB_0,AS_0,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
49,4,7,0,0,0,0,0,56,34,16,28,0.427,0.061,0.427,0.366,3,1,1,3,3,1,1,3,0,0,20,29,45.688999999999965,18,182,5,6,L,0.24927567567567566,0.061,0.427,0.122
49,4,8,0,0,0,0,0,41,3,105,1,0.9149999999999996,2.500999999999998,2.561999999999998,8.051999999999994,3,13,8,15,5,18,8,30,0,0,19,45,9.210999999999993,18,45,4.75,6,L,0.20251999999999998,0.13894444444444445,0.3202499999999999,0.26839999999999997
49,5,9,0,0,0,0,0,112,43,37,114,10.369999999999992,2.0129999999999986,0.305,0.8539999999999996,17,11,1,5,51,11,1,5,0,0,14,1,7.441999999999994,17,39,3.5,6,L,0.1979111111111111,0.183,0.305,0.1708
49,5,10,0,0,0,0,0,105,28,76,66,0.183,0.427,0.6099999999999999,0.8539999999999996,1,1,3,4,2,1,3,4,0,0,14,36,39.95499999999997,20,184,3.5,6,L,0.21579569892473116,0.427,0.20333333333333334,0.2135
50,1,1,0,0,0,0,0,60,45,84,107,0.061,2.8669999999999978,1.2199999999999993,0.244,1,8,6,1,1,9,6,1,0,0,14,108,38.55199999999997,20,170,3.5,6,L,0.22580701754385962,0.31855555555555554,0.20333333333333334,0.244
50,1,2,0,0,0,0,0,32,28,66,117,0.488,0.488,6.160999999999995,0.9149999999999996,1,1,15,5,2,1,30,5,0,0,16,22,29.767999999999976,18,122,4,6,L,0.24399999999999997,0.488,0.20536666666666667,0.183
50,2,3,0,0,0,0,0,75,27,53,98,0.366,4.330999999999997,2.1959999999999984,0.488,1,14,7,2,1,22,7,2,0,0,14,106,17.445999999999987,16,71,3.5,6,L,0.24738888888888885,0.19686363636363635,0.3137142857142856,0.244
50,2,4,0,0,0,0,0,68,39,87,23,0.244,0.427,1.0369999999999995,0.9149999999999996,1,2,6,4,1,2,6,4,0,0,18,63,56.973999999999954,20,229,4.5,6,L,0.24877391304347823,0.2135,0.17283333333333334,0.22875
50,3,5,0,0,0,0,0,1,41,38,52,2.3789999999999982,6.160999999999995,0.7319999999999998,0.5489999999999999,7,16,3,1,8,34,3,1,0,0,20,100,8.356999999999994,17,47,5,6,L,0.19519999999999998,0.18120588235294116,0.24399999999999997,0.5489999999999999
50,3,6,0,0,0,0,0,17,116,20,26,0.5489999999999999,24.58299999999998,0.366,0.366,1,17,3,1,1,116,3,1,0,0,19,22,8.661999999999994,15,47,4.75,6,L,0.19189583333333332,0.21192241379310342,0.122,0.366
50,4,7,0,0,0,0,0,45,44,20,38,13.29799999999999,0.244,1.524999999999999,9.881999999999993,17,3,4,15,60,3,4,33,0,0.5,36,16,3.476999999999997,6,13,5.25,6,L,0.2297945205479452,0.08133333333333333,0.38125,0.2994545454545454
50,4,8,0,0,0,0,0,94,101,11,89,5.7949999999999955,0.9149999999999996,2.0129999999999986,0.9149999999999996,18,8,6,3,30,9,7,3,0,0,14,5,4.879999999999996,12,24,3.5,6,L,0.19768518518518519,0.10166666666666667,0.28757142857142853,0.30499999999999994
50,5,9,0,0,0,0,0,120,116,2,41,0.6709999999999998,2.9279999999999977,0.244,0.183,3,10,2,2,3,12,2,2,0,0,15,112,11.528999999999991,17,60,3.75,6,L,0.19365079365079366,0.244,0.122,0.0915
50,5,10,0,0,0,0,0,65,13,29,19,2.439999999999998,2.0739999999999985,0.8539999999999996,0.5489999999999999,12,9,2,4,12,13,2,4,0,0,21,24,5.123999999999996,14,23,5.25,6,L,0.2161142857142857,0.15953846153846155,0.42699999999999994,0.13724999999999998
51,1,1,0,0,0,0,0,62,29,11,61,0.183,1.9519999999999986,1.463999999999999,5.672999999999996,2,7,2,15,2,7,2,24,0,0,19,105,30.438999999999975,19,139,4.75,6,L,0.217177304964539,0.2788571428571428,0.7319999999999995,0.23637499999999997
51,1,2,0,0,0,0,0,112,54,21,14,0.9149999999999996,5.7339999999999955,0.9759999999999995,9.393999999999993,6,15,2,16,6,23,2,48,0,0,18,116,14.029999999999989,20,78,4.5,6,L,0.17791666666666667,0.24930434782608693,0.488,0.19570833333333332
51,2,3,0,0,0,0,0,7,8,59,9,1.646999999999999,0.183,0.244,1.524999999999999,5,1,2,5,5,1,2,6,0,0.5,40,106,9.454999999999993,17,55,5.5,6,L,0.18503333333333333,0.183,0.122,0.25416666666666665
51,2,4,0,0,0,0,0,43,20,15,74,1.463999999999999,0.366,5.367999999999996,12.93199999999999,6,4,12,16,6,4,22,55,0,0,20,84,10.125999999999992,17,55,5,6,L,0.19,0.0915,0.24399999999999997,0.2351272727272727
51,3,5,0,0,0,0,0,29,100,105,101,0.488,2.0739999999999985,1.0369999999999995,1.463999999999999,4,10,8,7,5,12,10,10,0,0.5,17,71,9.454999999999993,16,54,2.75,6,L,0.16852542372881354,0.17283333333333334,0.1037,0.1464
51,3,6,0,0,0,0,0,20,16,14,60,1.2809999999999993,2.3179999999999983,2.9889999999999977,0.061,8,11,10,1,9,14,12,1,0,0.5,40,21,45.078999999999965,20,192,5.5,6,L,0.2306467661691542,0.16557142857142856,0.24908333333333332,0.061
51,4,7,0,0,0,0,0,30,19,105,14,0.366,1.1589999999999994,3.1109999999999975,2.9889999999999977,2,3,12,10,2,4,16,14,0,0,19,35,13.785999999999989,17,69,4.75,6,L,0.19932394366197181,0.28974999999999995,0.19443749999999999,0.21349999999999997
51,4,8,0,0,0,0,0,2,8,9,116,4.6969999999999965,1.1589999999999994,2.0739999999999985,1.7079999999999989,11,6,7,9,24,6,7,10,0,0.5,38,6,5.245999999999996,15,31,5,6,L,0.18078181818181818,0.19316666666666665,0.2962857142857142,0.1708
51,5,9,0,0,0,0,0,22,103,15,18,1.8299999999999987,0.6709999999999998,0.305,0.9759999999999995,9,5,3,5,9,5,3,7,0,0.5,38,45,13.35899999999999,17,68,5,6,L,0.19725974025974025,0.13419999999999999,0.10166666666666667,0.13942857142857143
51,5,10,0,0,0,0,0,3,12,7,29,2.0739999999999985,0.305,0.061,3.1109999999999975,7,2,1,12,8,2,1,16,0,0.5,41,8,9.393999999999993,18,47,5.75,6,L,0.2085090909090909,0.1525,0.061,0.19443749999999999
52,1,1,0,0,0,0,0,76,34,58,119,2.9279999999999977,0.244,17.140999999999988,0.061,9,3,16,1,11,3,91,1,0,0,14,120,6.770999999999995,14,28,3.5,6,L,0.24869230769230768,0.08133333333333333,0.18836263736263736,0.061
52,1,2,0,0,0,0,0,70,94,12,11,1.1589999999999994,2.439999999999998,0.305,4.6969999999999965,4,12,2,14,4,15,2,24,0,0,19,105,15.432999999999987,20,66,4.75,6,L,0.23702857142857142,0.16266666666666665,0.1525,0.19570833333333332
52,2,3,0,0,0,0,0,100,61,31,8,2.683999999999998,1.524999999999999,0.9149999999999996,1.4029999999999991,13,10,4,8,16,11,4,8,0,0,17,92,10.186999999999992,16,49,4.25,6,L,0.1980153846153846,0.13863636363636364,0.22874999999999998,0.175375
