Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
31,3,5,0,4,20.556999999999984,19,85,102,101,99,7,21.227999999999984,0.427,4.818999999999996,2.3179999999999983,20,4,14,8,90,4,20,12,2,0.5,18,3,6,L,0.23586666666666664,0.10675,0.24094999999999997,0.19316666666666665
31,3,6,0,1,29.096999999999976,20,131,81,75,73,34,29.401999999999976,0.488,3.2939999999999974,1.1589999999999994,20,2,12,1,132,2,17,2,3,0.5,23,3.5,6,L,0.22274242424242421,0.244,0.19376470588235295,0.5794999999999997
31,4,7,0,6,15.249999999999988,20,82,5,4,9,88,17.323999999999987,7.075999999999994,7.807999999999994,0.061,20,17,17,1,88,39,31,1,6,0.5,39,5.25,6,L,0.19686363636363635,0.18143589743589744,0.25187096774193546,0.061
31,4,8,0,3,15.066999999999988,20,82,33,28,20,14,15.676999999999987,2.622999999999998,7.8689999999999936,4.818999999999996,20,8,15,10,85,13,37,16,5,0,22,5.5,6,L,0.18443529411764706,0.20176923076923076,0.21267567567567566,0.3011875
31,5,9,0,6,16.835999999999988,17,87,6,12,75,11,19.702999999999985,2.1349999999999985,3.2939999999999974,2.0129999999999986,20,6,9,8,101,7,14,8,6,0.5,39,5.25,6,L,0.19507920792079206,0.30499999999999994,0.23528571428571426,0.251625
31,5,10,0,7,21.044999999999984,20,112,24,18,86,33,22.569999999999983,3.476999999999997,2.805999999999998,6.404999999999995,20,10,8,15,119,19,10,30,6,0,20,5,6,L,0.18966386554621847,0.183,0.28059999999999996,0.2135
32,1,1,0,2,18.421999999999986,20,91,49,54,51,8,20.983999999999984,0.061,2.683999999999998,6.221999999999995,20,1,10,16,102,1,13,26,4,0.5,30,4.5,6,L,0.20572549019607841,0.061,0.20646153846153845,0.23930769230769228
32,1,2,0,8,28.364999999999977,19,136,115,109,116,35,28.425999999999977,2.3789999999999982,6.404999999999995,0.6099999999999999,20,8,14,4,137,14,27,5,2,0.5,17,2.75,6,L,0.2074890510948905,0.16992857142857143,0.23722222222222222,0.122
32,2,3,0,3,8.844999999999994,18,43,31,3,25,12,11.284999999999991,8.600999999999994,0.122,4.391999999999997,20,17,1,9,53,36,1,14,5,0,22,5.5,6,L,0.21292452830188677,0.23891666666666664,0.122,0.31371428571428567
32,2,4,0,10,29.950999999999976,20,150,88,39,13,15,31.170999999999975,6.526999999999995,3.1109999999999975,3.4159999999999973,20,15,9,10,157,29,15,15,3,0,20,5,6,L,0.19854140127388534,0.22506896551724137,0.20739999999999997,0.22773333333333332
32,3,5,0,8,22.142999999999983,20,100,109,117,115,112,22.203999999999983,0.305,0.8539999999999996,2.500999999999998,20,2,4,6,101,2,6,10,2,1,24,2,6,L,0.21984158415841581,0.1525,0.14233333333333334,0.2501
32,3,6,0,4,17.079999999999988,19,83,42,104,53,98,18.177999999999987,1.2199999999999993,11.223999999999991,0.366,20,3,16,2,86,3,50,3,2,0,13,3.25,6,L,0.2113720930232558,0.40666666666666657,0.22447999999999999,0.122
32,4,7,0,8,15.981999999999987,17,77,113,110,109,26,16.04299999999999,1.524999999999999,14.395999999999988,3.1719999999999975,18,5,17,8,78,5,64,11,2,0.5,17,2.75,6,L,0.20567948717948717,0.30499999999999994,0.22493749999999998,0.2883636363636363
32,4,8,0,2,22.020999999999983,18,119,53,57,14,55,24.15599999999998,7.258999999999994,14.334999999999988,1.0369999999999995,20,15,15,4,129,29,57,4,4,0.5,30,4.5,6,L,0.18725581395348836,0.2503103448275862,0.25149122807017543,0.25925
32,5,9,0,9,39.58899999999997,16,180,44,42,64,88,43.919999999999966,7.807999999999994,0.244,2.0129999999999986,20,16,1,8,202,25,1,9,4,0,17,4.25,6,L,0.2174257425742574,0.31232,0.244,0.22366666666666665
32,5,10,0,7,10.064999999999992,19,59,14,20,15,18,11.162999999999991,0.366,0.7929999999999997,2.3179999999999983,20,3,5,9,68,3,6,13,6,1,72,6,6,L,0.16416176470588234,0.122,0.13216666666666665,0.1783076923076923
33,1,1,0,2,17.384999999999987,18,89,49,43,55,86,18.055999999999987,4.330999999999997,0.9149999999999996,6.587999999999995,20,12,5,15,92,19,5,30,4,0,16,4,6,L,0.19626086956521738,0.22794736842105262,0.183,0.21959999999999996
33,1,2,0,1,22.386999999999983,20,93,80,76,73,33,22.813999999999982,2.9889999999999977,4.452999999999997,1.1589999999999994,20,9,12,4,95,11,18,4,3,0.5,23,3.5,6,L,0.2401473684210526,0.2717272727272727,0.24738888888888888,0.28974999999999995
33,2,3,0,1,19.336999999999986,20,78,14,80,29,64,45.017999999999965,1.524999999999999,0.183,0.6099999999999999,20,7,1,2,182,8,1,2,3,0,18,4.5,6,L,0.24735164835164833,0.190625,0.183,0.305
33,2,4,0,10,21.593999999999983,20,96,85,6,40,59,22.630999999999982,7.685999999999994,8.783999999999994,0.488,20,14,14,3,103,35,41,3,3,0,18,4.5,6,L,0.21971844660194173,0.21959999999999996,0.2142439024390244,0.16266666666666665
33,3,5,0,1,10.369999999999992,19,49,8,1,68,84,32.69599999999998,2.622999999999998,1.0369999999999995,0.061,20,7,5,1,131,8,6,1,3,0,19,4.75,6,L,0.24958778625954195,0.3278749999999999,0.17283333333333334,0.061
33,3,6,0,2,24.09499999999998,20,113,53,51,23,22,26.96199999999998,3.903999999999997,3.903999999999997,1.8909999999999987,20,12,11,8,124,20,21,11,4,0,20,5,6,L,0.21743548387096773,0.19519999999999998,0.18590476190476188,0.1719090909090909
33,4,7,0,9,36.23399999999997,20,155,63,61,42,16,36.47799999999997,1.1589999999999994,7.136999999999994,1.585999999999999,20,6,13,5,159,7,27,5,4,0,19,4.75,6,L,0.22942138364779874,0.16557142857142856,0.2643333333333333,0.3172
33,4,8,0,3,30.438999999999975,17,153,30,36,25,11,32.02499999999998,2.683999999999998,0.061,5.245999999999996,20,10,1,14,162,14,1,18,5,0.5,36,5.25,6,L,0.19768518518518519,0.1917142857142857,0.061,0.2914444444444444
33,5,9,0,3,22.508999999999983,20,109,31,26,27,75,23.240999999999982,3.903999999999997,3.2329999999999974,5.001999999999996,20,8,14,13,114,13,16,18,5,0.5,33,4.5,6,L,0.20386842105263156,0.3003076923076922,0.20206249999999998,0.27788888888888885
33,5,10,0,7,12.99299999999999,13,61,17,15,45,19,14.029999999999989,4.635999999999997,1.8909999999999987,5.245999999999996,15,11,8,15,63,15,11,25,6,0.5,41,5.75,6,L,0.22269841269841267,0.30906666666666666,0.1719090909090909,0.20983999999999997
34,1,1,0,3,26.35199999999998,18,128,33,27,35,64,26.83999999999998,3.720999999999997,0.122,14.151999999999989,20,12,1,17,132,19,1,64,5,0.5,34,4.75,6,L,0.2033333333333333,0.19584210526315787,0.122,0.221125
34,1,2,0,5,15.432999999999987,19,76,18,19,51,48,37.33199999999997,4.208999999999997,0.9759999999999995,0.061,20,13,3,1,166,21,3,1,5,0,21,5.25,6,L,0.2248915662650602,0.2004285714285714,0.32533333333333325,0.061
34,2,3,0,5,24.15599999999998,20,115,46,37,73,41,24.21699999999998,1.0979999999999994,9.393999999999993,2.1349999999999985,20,6,16,8,116,6,33,8,5,0.5,33,4.5,6,L,0.20876724137931033,0.183,0.2846666666666666,0.266875
34,2,4,0,3,18.604999999999986,19,90,31,59,87,109,20.007999999999985,19.336999999999986,4.513999999999997,2.683999999999998,20,19,14,11,97,81,23,14,5,0,14,3.5,6,L,0.20626804123711337,0.23872839506172838,0.19626086956521738,0.1917142857142857
34,3,5,0,6,21.227999999999984,19,87,2,4,5,39,21.288999999999984,5.062999999999996,3.842999999999997,0.5489999999999999,20,13,8,1,88,17,11,1,6,0.5,41,5.75,6,L,0.24192045454545452,0.29782352941176465,0.34936363636363627,0.5489999999999999
